occurrence_date,report_date,report_year,neighbourhood_name,premises_type,status
2017-08-18T00:00:00Z,2017-08-19T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Commercial,STOLEN
2017-08-19T00:00:00Z,2017-08-19T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Other,STOLEN
2016-08-21T00:00:00Z,2017-08-23T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-09-04T00:00:00Z,2017-09-05T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Outside,STOLEN
2017-09-01T00:00:00Z,2017-09-11T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-08-25T00:00:00Z,2017-09-19T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-09-21T00:00:00Z,2017-09-22T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-09-23T00:00:00Z,2017-09-25T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Outside,STOLEN
2017-10-18T00:00:00Z,2017-10-18T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Outside,STOLEN
2017-10-19T00:00:00Z,2017-10-19T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Outside,STOLEN
2017-10-19T00:00:00Z,2017-10-19T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Outside,STOLEN
2017-10-25T00:00:00Z,2017-10-26T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Apartment,STOLEN
2017-10-29T00:00:00Z,2017-11-07T00:00:00Z,2017,Mimico (includes Humber Bay Shores) (17),Commercial,STOLEN
2017-11-15T00:00:00Z,2018-01-09T00:00:00Z,2018,Mimico (includes Humber Bay Shores) (17),Other,STOLEN
2017-11-15T00:00:00Z,2018-01-09T00:00:00Z,2018,Mimico (includes Humber Bay Shores) (17),Other,STOLEN
